lat,lon
37.80107,-122.44137
37.80113,-122.44139
37.80112,-122.44150
37.80094,-122.44286
37.80093,-122.44293
37.80092,-122.44305
37.80090,-122.44320
37.80089,-122.44328
37.80072,-122.44460
37.80071,-122.44472
37.80069,-122.44486
37.80051,-122.44627
37.80049,-122.44637
37.80048,-122.44646
37.80042,-122.44696
37.80040,-122.44709
37.80047,-122.44718
37.80073,-122.44756
37.80080,-122.44766
37.80089,-122.44779
37.80091,-122.44783
37.80100,-122.44795
37.80108,-122.44808
37.80125,-122.44832
37.80173,-122.44902
37.80178,-122.44908
37.80183,-122.44915
37.80189,-122.44923
37.80195,-122.44931
37.80202,-122.44938
37.80208,-122.44945
37.80214,-122.44952
37.80224,-122.44962
37.80239,-122.44977
37.80248,-122.44986
37.80259,-122.44997
37.80264,-122.45003
37.80270,-122.45009
37.80275,-122.45015
37.80280,-122.45021
37.80285,-122.45029
37.80291,-122.45036
37.80295,-122.45042
37.80300,-122.45050
37.80304,-122.45058
37.80308,-122.45064
37.80312,-122.45073
37.80315,-122.45079
37.80318,-122.45086
37.80322,-122.45093
37.80323,-122.45097
37.80324,-122.45099
37.80326,-122.45104
37.80327,-122.45109
37.80330,-122.45118
37.80333,-122.45126
37.80335,-122.45134
37.80336,-122.45141
37.80338,-122.45149
37.80340,-122.45157
37.80341,-122.45165
37.80342,-122.45173
37.80343,-122.45181
37.80344,-122.45190
37.80345,-122.45198
37.80346,-122.45206
37.80346,-122.45214
37.80347,-122.45222
37.80347,-122.45230
37.80348,-122.45238
37.80348,-122.45247
37.80348,-122.45255
37.80348,-122.45267
37.80347,-122.45284
37.80347,-122.45300
37.80345,-122.45316
37.80344,-122.45333
37.80340,-122.45359
37.80339,-122.45372
37.80335,-122.45406
37.80333,-122.45420
37.80328,-122.45458
37.80322,-122.45501
37.80317,-122.45538
37.80312,-122.45575
37.80306,-122.45613
37.80300,-122.45645
37.80294,-122.45677
37.80287,-122.45705
37.80281,-122.45731
37.80277,-122.45744
37.80272,-122.45761
37.80268,-122.45776
37.80201,-122.46005
37.80197,-122.46020
37.80192,-122.46036
37.80189,-122.46051
37.80185,-122.46067
37.80183,-122.46082
37.80180,-122.46099
37.80177,-122.46115
37.80176,-122.46130
37.80175,-122.46139
37.80173,-122.46155
37.80173,-122.46182
37.80173,-122.46203
37.80173,-122.46228
37.80174,-122.46253
37.80176,-122.46276
