lon,lat
-124.0986970,41.5938680
-124.0985640,41.5938060
-124.0983200,41.5940130
-124.0986490,41.5943090
-124.0989380,41.5945320
-124.0991360,41.5946560
-124.0994710,41.5948370
-124.0999770,41.5951030
-124.1001250,41.5951880
-124.1004230,41.5953950
-124.1005580,41.5955250
-124.1007030,41.5956990
-124.1007800,41.5958120
-124.1008050,41.5958500
-124.1009740,41.5962300
-124.1010190,41.5964620
-124.1010250,41.5967020
-124.1009980,41.5969270
-124.1007400,41.5980620
-124.1006310,41.5985270
-124.1004300,41.5993760
-124.1004080,41.5994700
-124.1002950,41.5998550
-124.1001830,41.6005370
-124.1000640,41.6013720
-124.0999460,41.6021460
-124.0999300,41.6022780
-124.0999250,41.6024190
-124.0999360,41.6026390
-124.0999660,41.6028300
-124.1000010,41.6029840
-124.1000620,41.6032560
-124.1002070,41.6035670
-124.1003200,41.6037600
-124.1004000,41.6038880
-124.1005240,41.6040520
-124.1007010,41.6042450
-124.1008880,41.6044250
-124.1012620,41.6047360
-124.1013860,41.6048260
-124.1015460,41.6049420
-124.1020170,41.6053160
-124.1021120,41.6053910
-124.1023270,41.6055640
-124.1025500,41.6058140
-124.1027160,41.6060690
-124.1029070,41.6063880
-124.1030110,41.6066180
-124.1031050,41.6068970
-124.1032030,41.6072450
-124.1034900,41.6080100
-124.1036700,41.6084410
-124.1039080,41.6089200
-124.1042220,41.6093930
-124.1048420,41.6103000
-124.1050220,41.6106210
-124.1052620,41.6111350
-124.1053820,41.6114170
-124.1054780,41.6117320
-124.1055640,41.6120290
-124.1056600,41.6123940
-124.1057730,41.6129110
-124.1058160,41.6131920
-124.1058800,41.6135090
-124.1059510,41.6140940
-124.1060170,41.6146000
-124.1061030,41.6148820
-124.1061980,41.6151320
-124.1063180,41.6153310
-124.1064640,41.6155300
-124.1065820,41.6156550
-124.1066960,41.6157740
-124.1068500,41.6159150
-124.1069440,41.6159860
-124.1071160,41.6161010
-124.1082490,41.6167940
-124.1085750,41.6170060
-124.1088410,41.6172370
-124.1090130,41.6174420
-124.1091300,41.6175860
-124.1092100,41.6177180
-124.1092660,41.6178340
-124.1093430,41.6180650
-124.1093740,41.6181980
-124.1093940,41.6184670
-124.1093970,41.6185920
-124.1093360,41.6190240
-124.1093070,41.6191950
-124.1092940,41.6193870
-124.1093010,41.6195520
-124.1095530,41.6210880
-124.1096550,41.6215190
-124.1097120,41.6216900
-124.1097990,41.6218940
-124.1099760,41.6222120
-124.1101350,41.6224420
-124.1102610,41.6225940
-124.1107520,41.6230850
-124.1109650,41.6233320
-124.1110560,41.6234560
-124.1111530,41.6236230
-124.1112570,41.6238280
-124.1113140,41.6239640
-124.1113610,41.6241230
-124.1114870,41.6248200
-124.1115240,41.6249440
-124.1116730,41.6251980
-124.1118530,41.6254780
