lat,lng,field
38.04072,-122.79923,
38.04071,-122.79924,
38.04070,-122.79925,
38.04069,-122.79926,
38.04068,-122.79927,
38.04068,-122.79928,
38.04067,-122.79929,
38.04066,-122.79930,
38.04066,-122.79931,
38.04065,-122.79932,
38.04064,-122.79932,
38.04064,-122.79933,
38.04063,-122.79934,
38.04063,-122.79937,
38.04063,-122.79937,
38.04064,-122.79937,
38.04064,-122.79937,
38.04064,-122.79937,
38.04064,-122.79937,
38.04064,-122.79936,
38.04064,-122.79936,
38.04064,-122.79936,
38.04064,-122.79939,
38.04062,-122.79942,
38.04061,-122.79946,
38.04061,-122.79947,
38.04061,-122.79949,
38.04061,-122.79949,
38.04062,-122.79947,
38.04063,-122.79945,
38.04063,-122.79943,
38.04063,-122.79942,
38.04064,-122.79941,
38.04064,-122.79941,
38.04063,-122.79946,
38.04062,-122.79948,
38.04062,-122.79949,
38.04062,-122.79950,
38.04061,-122.79954,
38.04060,-122.79955,
38.04060,-122.79959,
38.04060,-122.79960,
38.04059,-122.79963,
38.04059,-122.79965,
38.04059,-122.79969,
38.04058,-122.79973,
38.04058,-122.79974,
38.04058,-122.79979,
38.04058,-122.79980,
38.04058,-122.79982,
38.04059,-122.79983,
38.04060,-122.79986,
38.04060,-122.79987,
38.04060,-122.79989,
38.04060,-122.79991,
38.04059,-122.79994,
38.04058,-122.79995,
38.04057,-122.79997,
38.04056,-122.79998,
38.04054,-122.79999,
38.04052,-122.80001,
38.04051,-122.80001,
38.04049,-122.80002,
38.04048,-122.80002,
38.04045,-122.80002,
38.04044,-122.80003,
38.04043,-122.80003,
38.04041,-122.80004,
38.04039,-122.80005,
38.04038,-122.80006,
38.04036,-122.80006,
38.04035,-122.80006,
38.04033,-122.80007,
38.04032,-122.80007,
38.04030,-122.80008,
38.04029,-122.80009,
38.04027,-122.80010,
38.04026,-122.80010,
38.04025,-122.80010,
38.04023,-122.80010,
38.04022,-122.80011,
38.04020,-122.80011,
38.04018,-122.80011,
38.04016,-122.80012,
38.04015,-122.80012,
38.04013,-122.80013,
38.04012,-122.80013,
38.04009,-122.80014,
38.04008,-122.80014,
38.04007,-122.80015,
38.04005,-122.80015,
38.04005,-122.80014,
38.04003,-122.80014,
38.04002,-122.80015,
38.04001,-122.80015,
38.03999,-122.80015,
38.03998,-122.80015,
38.03996,-122.80015,
38.03994,-122.80015,
38.03993,-122.80015,
38.03991,-122.80016,
38.03990,-122.80016,
38.03989,-122.80016,
38.03987,-122.80016,
38.03984,-122.80016,
38.03983,-122.80016,
38.03982,-122.80017,
38.03982,-122.80018,
38.03984,-122.80019,
38.03985,-122.80018,
38.03985,-122.80017,
38.03985,-122.80016,
38.03986,-122.80015,
38.03986,-122.80013,
38.03987,-122.80013,
38.03986,-122.80012,
38.03986,-122.80011,
38.03986,-122.80011,
38.03985,-122.80010,
38.03985,-122.80010,
38.03985,-122.80008,
38.03985,-122.80007,
38.03985,-122.80005,
38.03986,-122.80002,
38.03986,-122.80000,
38.03986,-122.79999,
38.03987,-122.79997,
38.03987,-122.79994,
38.03986,-122.79990,
38.03985,-122.79988,
38.03984,-122.79986,
38.03983,-122.79985,
