lat,lng,field
47.95780,-123.84241,
47.95787,-123.84241,
47.95790,-123.84241,
47.95788,-123.84240,
47.95787,-123.84239,
47.95786,-123.84239,
47.95785,-123.84239,
47.95784,-123.84239,
47.95783,-123.84241,
47.95782,-123.84242,
47.95782,-123.84242,
47.95781,-123.84243,
47.95779,-123.84244,
47.95777,-123.84244,
47.95774,-123.84243,
47.95771,-123.84242,
47.95767,-123.84242,
47.95764,-123.84243,
47.95761,-123.84245,
47.95760,-123.84245,
47.95759,-123.84245,
47.95759,-123.84245,
47.95759,-123.84245,
47.95760,-123.84244,
47.95760,-123.84242,
47.95760,-123.84240,
47.95761,-123.84240,
47.95763,-123.84242,
47.95764,-123.84244,
47.95766,-123.84246,
47.95769,-123.84248,
47.95771,-123.84249,
47.95771,-123.84248,
47.95771,-123.84246,
47.95771,-123.84245,
47.95770,-123.84243,
47.95769,-123.84240,
47.95768,-123.84238,
47.95767,-123.84235,
47.95767,-123.84233,
47.95767,-123.84231,
47.95767,-123.84229,
47.95767,-123.84227,
47.95767,-123.84226,
47.95768,-123.84225,
47.95769,-123.84221,
47.95769,-123.84219,
47.95768,-123.84215,
47.95768,-123.84206,
47.95767,-123.84201,
47.95767,-123.84200,
47.95765,-123.84196,
47.95764,-123.84195,
47.95763,-123.84192,
47.95762,-123.84189,
47.95761,-123.84185,
47.95761,-123.84183,
47.95760,-123.84180,
47.95759,-123.84178,
47.95757,-123.84173,
47.95756,-123.84171,
47.95755,-123.84169,
47.95753,-123.84167,
47.95750,-123.84164,
47.95748,-123.84161,
47.95747,-123.84160,
47.95744,-123.84156,
47.95744,-123.84155,
47.95741,-123.84152,
47.95741,-123.84151,
47.95738,-123.84148,
47.95737,-123.84147,
47.95736,-123.84145,
47.95734,-123.84142,
47.95733,-123.84141,
47.95732,-123.84139,
47.95730,-123.84137,
47.95729,-123.84136,
47.95728,-123.84134,
47.95726,-123.84132,
47.95725,-123.84130,
47.95724,-123.84129,
47.95723,-123.84127,
47.95723,-123.84126,
47.95721,-123.84124,
47.95721,-123.84122,
47.95720,-123.84121,
47.95720,-123.84120,
47.95720,-123.84118,
47.95719,-123.84117,
47.95717,-123.84115,
47.95716,-123.84113,
47.95715,-123.84112,
47.95714,-123.84110,
47.95712,-123.84109,
47.95711,-123.84108,
47.95710,-123.84106,
47.95709,-123.84105,
47.95708,-123.84104,
47.95706,-123.84102,
47.95705,-123.84099,
47.95704,-123.84098,
47.95704,-123.84098,
47.95703,-123.84095,
47.95702,-123.84094,
47.95702,-123.84092,
47.95701,-123.84091,
47.95700,-123.84089,
47.95700,-123.84088,
47.95699,-123.84087,
47.95698,-123.84085,
47.95697,-123.84085,
47.95696,-123.84084,
47.95695,-123.84084,
47.95693,-123.84084,
47.95692,-123.84084,
47.95691,-123.84084,
47.95690,-123.84083,
47.95689,-123.84082,
47.95688,-123.84081,
47.95687,-123.84079,
47.95687,-123.84077,
47.95686,-123.84074,
47.95686,-123.84073,
47.95686,-123.84070,
47.95686,-123.84064,
47.95686,-123.84061,
